iter	Logloss
0	0.6806044965
1	0.6686827434
2	0.6575530267
3	0.6469920939
4	0.6367631118
5	0.6267164248
6	0.6180497391
7	0.6098343008
8	0.6017819526
9	0.5941300633
10	0.5863578486
11	0.5785450724
12	0.570857366
13	0.5640918773
14	0.5573806499
15	0.551668508
16	0.5451355289
17	0.5389084747
18	0.5328408019
19	0.5281321967
20	0.5230524038
21	0.5181130406
22	0.5136434888
23	0.508725949
24	0.5028879897
25	0.4985727326
26	0.4940359111
27	0.490597931
28	0.4866100456
29	0.4820312887
30	0.478372662
31	0.4745694378
32	0.4711154006
33	0.4671374347
34	0.4637671411
35	0.4606305206
36	0.4574645896
37	0.4544386635
38	0.4516685678
39	0.4491466283
40	0.4465218684
41	0.4433994897
42	0.4401431095
43	0.4370039235
44	0.4338502161
45	0.4310888965
46	0.428200206
47	0.4255555065
48	0.4231632462
49	0.4208463125
50	0.4186159242
51	0.4165027884
52	0.4139602109
53	0.4121116711
54	0.4101147667
55	0.4080917575
56	0.4065123473
57	0.4042194212
58	0.4016812177
59	0.399437887
60	0.3971651632
61	0.3953560984
62	0.3935645381
63	0.3919358435
64	0.3902788151
65	0.3887626168
66	0.38665137
67	0.3847709694
68	0.3830420897
69	0.3815014205
70	0.3796876903
71	0.3781442927
72	0.3764750186
73	0.3751473708
74	0.3737154326
75	0.3724335043
76	0.3708744466
77	0.3694387449
78	0.3680113221
79	0.3665679428
80	0.3648720838
81	0.3635061354
82	0.3622930848
83	0.3609042434
84	0.3598307444
85	0.3584220623
86	0.3571081753
87	0.3557286162
88	0.3545279414
89	0.3532370814
90	0.3519497411
91	0.3509167749
92	0.3497363155
93	0.3484191898
94	0.3471489071
95	0.3461510803
96	0.3450874932
97	0.3440119773
98	0.3430963598
99	0.3421796396
100	0.3413516432
101	0.3403158549
102	0.3390118808
103	0.3380981993
104	0.3370814676
105	0.3362523559
106	0.3354403447
107	0.3343712092
108	0.3333113646
109	0.3324039941
110	0.3312892136
111	0.330259765
112	0.3292428348
113	0.3284259593
114	0.3275834082
115	0.3266862487
116	0.3259717946
117	0.3251051628
118	0.3243585728
119	0.3234066659
120	0.3225021306
121	0.3217078597
122	0.3208497655
123	0.3199254071
124	0.3191640227
125	0.3182567098
126	0.3173018044
127	0.3164828591
128	0.3158336733
129	0.3150453805
130	0.314446183
131	0.3139079128
132	0.3130065728
133	0.3120319532
134	0.3111552804
135	0.3105662966
136	0.3098935594
137	0.3091954746
138	0.3084653278
139	0.3075817764
140	0.3067827781
141	0.3060746351
142	0.3054239568
143	0.3047578262
144	0.3040711716
145	0.3034742929
146	0.3027664596
147	0.3020273393
148	0.3014542058
149	0.3009011187
150	0.3003370988
151	0.2998241554
152	0.2992209024
153	0.2986346027
154	0.2979101577
155	0.2972807247
156	0.2968027146
157	0.2963762035
158	0.2956864426
159	0.2952097076
160	0.2945191983
161	0.2939054258
162	0.2934227919
163	0.2929557651
164	0.2925004158
165	0.2921210093
166	0.2915732596
167	0.2910314559
168	0.2903726754
169	0.2898419943
170	0.2892302822
171	0.288701592
172	0.2881933519
173	0.2877474818
174	0.2873218341
175	0.2868517074
176	0.2864039786
177	0.285953802
178	0.285324221
179	0.284810747
180	0.2842446203
181	0.2836996723
182	0.283190415
183	0.2826702783
184	0.2822630098
185	0.2817507306
186	0.2813198983
187	0.2809645521
188	0.2805159334
189	0.2801328195
190	0.2797301833
191	0.2793675208
192	0.2789408939
193	0.2785430145
194	0.2780632305
195	0.2776940074
196	0.2773445391
197	0.2769629909
198	0.2765366307
199	0.2761384911
200	0.275633247
201	0.2750778981
202	0.2746271972
203	0.2741524603
204	0.2737546679
205	0.2733413582
206	0.2729965194
207	0.2725854746
208	0.2720946991
209	0.2717237363
210	0.2712906196
211	0.2710349414
212	0.2706937135
213	0.2704143248
214	0.2700323172
215	0.2697291664
216	0.2693234882
217	0.2690147797
218	0.268622708
219	0.2682556856
220	0.2679184935
221	0.2675520263
222	0.2671019866
223	0.2667498308
224	0.2663527292
225	0.2660259489
226	0.2657038141
227	0.2653126795
228	0.2650135434
229	0.2647272851
230	0.2644066713
231	0.2639580855
232	0.2635858752
233	0.2632180443
234	0.2628531003
235	0.2625633837
236	0.2621268105
237	0.2617558008
238	0.261418117
239	0.2612019008
240	0.2608046039
241	0.2603944598
242	0.2600928265
243	0.2596817065
244	0.2594200397
245	0.2591794167
246	0.2587537495
247	0.2584578674
248	0.2580386222
249	0.2576878369
