iter	Passed	Remaining
0	22	5529
1	43	5361
2	67	5568
3	89	5506
4	111	5453
5	133	5427
6	156	5432
7	179	5425
8	202	5429
9	226	5442
10	249	5429
11	274	5436
12	299	5451
13	323	5446
14	348	5454
15	372	5442
16	395	5425
17	420	5420
18	444	5402
19	468	5384
20	491	5360
21	515	5347
22	541	5342
23	566	5335
24	590	5318
25	615	5299
26	639	5284
27	664	5271
28	690	5264
29	715	5246
30	739	5224
31	764	5207
32	787	5178
33	811	5156
34	835	5129
35	858	5101
36	882	5078
37	905	5054
38	930	5035
39	953	5006
40	977	4983
41	1002	4963
42	1026	4941
43	1051	4921
44	1075	4900
45	1100	4878
46	1123	4853
47	1148	4833
48	1174	4816
49	1198	4793
50	1221	4767
51	1245	4743
52	1270	4720
53	1292	4692
54	1316	4668
55	1339	4639
56	1361	4610
57	1389	4599
58	1416	4584
59	1439	4559
60	1463	4535
61	1487	4511
62	1511	4486
63	1534	4458
64	1557	4432
65	1580	4406
66	1604	4382
67	1628	4359
68	1652	4335
69	1676	4310
70	1699	4285
71	1723	4261
72	1748	4239
73	1771	4213
74	1794	4187
75	1818	4162
76	1842	4139
77	1865	4114
78	1890	4091
79	1914	4067
80	1938	4044
81	1962	4020
82	1985	3994
83	2008	3970
84	2031	3944
85	2055	3920
86	2079	3895
87	2103	3871
88	2127	3848
89	2150	3823
90	2174	3799
91	2197	3773
92	2220	3748
93	2243	3723
94	2267	3700
95	2291	3675
96	2314	3650
97	2338	3626
98	2361	3602
99	2385	3577
100	2407	3552
101	2430	3527
102	2454	3503
103	2477	3478
104	2501	3453
105	2524	3429
106	2546	3403
107	2571	3381
108	2603	3367
109	2633	3352
110	2667	3339
111	2697	3323
112	2728	3308
113	2754	3285
114	2784	3268
115	2822	3260
116	2850	3240
117	2878	3220
118	2907	3200
119	2939	3184
120	2965	3161
121	2991	3138
122	3015	3114
123	3039	3088
124	3064	3064
125	3088	3039
126	3112	3014
127	3137	2990
128	3160	2964
129	3184	2939
130	3208	2914
131	3231	2888
132	3254	2862
133	3278	2838
134	3302	2813
135	3326	2788
136	3350	2763
137	3373	2738
138	3399	2714
139	3422	2688
140	3445	2663
141	3469	2638
142	3493	2613
143	3517	2589
144	3542	2565
145	3566	2540
146	3590	2515
147	3614	2491
148	3637	2465
149	3659	2439
150	3681	2414
151	3704	2388
152	3727	2363
153	3751	2338
154	3775	2314
155	3801	2290
156	3825	2266
157	3848	2240
158	3871	2215
159	3895	2190
160	3919	2166
161	3943	2141
162	3966	2116
163	3989	2091
164	4012	2067
165	4035	2042
166	4060	2017
167	4083	1993
168	4106	1968
169	4128	1942
170	4152	1918
171	4176	1893
172	4199	1869
173	4222	1844
174	4245	1819
175	4268	1794
176	4290	1769
177	4313	1744
178	4337	1720
179	4361	1696
180	4385	1671
181	4409	1647
182	4433	1623
183	4457	1599
184	4481	1574
185	4504	1550
186	4527	1525
187	4549	1500
188	4572	1475
189	4595	1451
190	4618	1426
191	4642	1402
192	4666	1378
193	4689	1353
194	4713	1329
195	4735	1304
196	4758	1280
197	4780	1255
198	4804	1231
199	4827	1206
200	4852	1182
201	4881	1159
202	4908	1136
203	4935	1112
204	4960	1088
205	4986	1065
206	5009	1040
207	5034	1016
208	5058	992
209	5082	968
210	5105	943
211	5128	919
212	5151	894
213	5172	870
214	5195	845
215	5217	821
216	5241	797
217	5263	772
218	5286	748
219	5310	724
220	5333	699
221	5356	675
222	5379	651
223	5402	627
224	5427	603
225	5450	578
226	5473	554
227	5498	530
228	5521	506
229	5543	482
230	5566	457
231	5590	433
232	5614	409
233	5637	385
234	5660	361
235	5685	337
236	5710	313
237	5734	289
238	5756	264
239	5778	240
240	5802	216
241	5827	192
242	5851	168
243	5876	144
244	5903	120
245	5925	96
246	5949	72
247	5972	48
248	5995	24
249	6019	0
