"","time","posX","posY","orientation","X00.14.bf.b1.97.8a","X00.0f.a3.39.e1.c0","X00.14.bf.3b.c7.c6","X00.14.bf.b1.97.81","X00.14.bf.b1.97.8d","X00.14.bf.b1.97.90","X00.0f.a3.39.dd.cd","nas","posXY","angle"
"1","1139693255164",0.47,8.2,5.8,-45,-48,-60,-71,-62,-46,-72,0,"0.47-8.2",0
"2","1139693255416",0.47,8.2,5.8,-45,-48,-62,-56.6546902475314,-57,-50,-72,1,"0.47-8.2",0
"3","1139693255668",0.47,8.2,5.8,-46,-49,-80,-68,-64,-48,-76,0,"0.47-8.2",0
"4","1139693255920",0.47,8.2,5.8,-56.4354204773103,-49,-60.0102496192809,-56.6546902475314,-66,-66.2612341491531,-68,4,"0.47-8.2",0
"5","1139693256172",0.47,8.2,5.8,-44,-48,-60.0102496192809,-56.6546902475314,-54.8630723149337,-66.2612341491531,-70,4,"0.47-8.2",0
"6","1139693256424",0.47,8.2,5.8,-45,-48,-61,-72,-54.8630723149337,-47,-78,1,"0.47-8.2",0
"7","1139693256676",0.47,8.2,5.8,-45.5,-48,-74,-72,-66,-51,-75,0,"0.47-8.2",0
"8","1139693256928",0.47,8.2,5.8,-46,-49,-73,-71,-65,-49,-74,0,"0.47-8.2",0
"9","1139693257180",0.47,8.2,5.8,-46,-50,-75,-72,-66,-50.5,-79,0,"0.47-8.2",0
"10","1139693257432",0.47,8.2,5.8,-45.5,-50,-61,-73,-65,-47,-78,0,"0.47-8.2",0
"11","1139693257684",0.47,8.2,5.8,-56.4354204773103,-49,-73.5,-71,-65,-51,-74,1,"0.47-8.2",0
"12","1139693257936",0.47,8.2,5.8,-44.5,-50,-60.0102496192809,-72,-65,-69,-73,1,"0.47-8.2",0
"13","1139693258188",0.47,8.2,5.8,-45,-51,-62,-72,-56,-48,-74,0,"0.47-8.2",0
"14","1139693258440",0.47,8.2,5.8,-45,-50,-62,-56.6546902475314,-57,-52,-74,1,"0.47-8.2",0
"15","1139693258692",0.47,8.2,5.8,-45,-51,-62,-56.6546902475314,-65,-50,-71,1,"0.47-8.2",0
"16","1139693258944",0.47,8.2,5.8,-45.5,-50,-61,-73,-54.8630723149337,-47,-76,1,"0.47-8.2",0
"17","1139693259196",0.47,8.2,5.8,-46,-50,-62,-56.6546902475314,-57,-66.2612341491531,-74,2,"0.47-8.2",0
"18","1139693259448",0.47,8.2,5.8,-45,-49,-63,-73,-56,-53,-70,0,"0.47-8.2",0
"19","1139693259700",0.47,8.2,5.8,-56.4354204773103,-49,-61,-73,-57,-47,-71,1,"0.47-8.2",0
"20","1139693259952",0.47,8.2,5.8,-46,-49,-62,-56.6546902475314,-54.8630723149337,-49,-74,2,"0.47-8.2",0
"21","1139693260204",0.47,8.2,5.8,-44,-49,-61,-68,-66,-53,-77,0,"0.47-8.2",0
"22","1139693260456",0.47,8.2,5.8,-46,-50,-75,-74,-67,-50,-76,0,"0.47-8.2",0
"23","1139693260708",0.47,8.2,5.8,-46,-50,-60.0102496192809,-72,-62,-50,-77,1,"0.47-8.2",0
"24","1139693260960",0.47,8.2,5.8,-56.4354204773103,-50,-60.0102496192809,-76,-54.8630723149337,-47,-75,3,"0.47-8.2",0
"25","1139693261212",0.47,8.2,5.8,-44,-49,-62,-70,-66,-66.2612341491531,-75,1,"0.47-8.2",0
"26","1139693261464",0.47,8.2,5.8,-44,-49,-60.0102496192809,-77,-54.8630723149337,-45,-77,2,"0.47-8.2",0
"27","1139693261716",0.47,8.2,5.8,-56.4354204773103,-49,-62,-71,-60,-52,-77,1,"0.47-8.2",0
"28","1139693261968",0.47,8.2,5.8,-44,-49,-62,-56.6546902475314,-54.8630723149337,-66.2612341491531,-74,3,"0.47-8.2",0
"29","1139693262220",0.47,8.2,5.8,-46,-49,-75,-68,-54.8630723149337,-44,-77,1,"0.47-8.2",0
"30","1139693262472",0.47,8.2,5.8,-47,-49,-62,-70,-64,-47,-75,0,"0.47-8.2",0
"31","1139693262724",0.47,8.2,5.8,-47,-49,-61,-56.6546902475314,-61,-50,-75,1,"0.47-8.2",0
"32","1139693262976",0.47,8.2,5.8,-45,-49,-61,-77,-64,-52,-74,0,"0.47-8.2",0
"33","1139693263228",0.47,8.2,5.8,-44.5,-49,-75,-56.6546902475314,-64,-47,-75,1,"0.47-8.2",0
"34","1139693263480",0.47,8.2,5.8,-46,-49,-61,-72,-54.8630723149337,-48,-76,1,"0.47-8.2",0
"35","1139693263732",0.47,8.2,5.8,-46,-48,-60.0102496192809,-74,-54.8630723149337,-66.2612341491531,-74,3,"0.47-8.2",0
"36","1139693263984",0.47,8.2,5.8,-44,-49,-63,-73,-67,-45,-75,0,"0.47-8.2",0
"37","1139693264236",0.47,8.2,5.8,-44,-49,-60.0102496192809,-71,-54.8630723149337,-47,-75,2,"0.47-8.2",0
"38","1139693264488",0.47,8.2,5.8,-45,-49,-62,-73,-57,-53,-75,0,"0.47-8.2",0
"39","1139693264740",0.47,8.2,5.8,-45,-52,-60,-75,-58,-54,-74,0,"0.47-8.2",0
"40","1139693264992",0.47,8.2,5.8,-45,-51,-60.0102496192809,-73,-69,-48,-75,1,"0.47-8.2",0
