"","posX","posY","angle","X00.14.bf.b1.97.8a","X00.14.bf.b1.97.90","X00.0f.a3.39.e1.c0","X00.14.bf.b1.97.8d","X00.14.bf.b1.97.81","X00.14.bf.3b.c7.c6","X00.0f.a3.39.dd.cd"
"1",0,0,0,-41.9848869871962,-57.2077373394762,-51.1545454545455,-64.5564885050764,-62.8434947677779,-65.3881340251485,-68.1318181818182
"2",0,1,0,-44.9712506235599,-58.2289067853314,-50.5727272727273,-61.0767261835298,-67.1865631494165,-65.1978771827391,-70.3363636363636
"3",0,2,0,-47.7200764504201,-58.7067922843761,-59.9545454545455,-61.8160131481698,-61.1876427947813,-61.2605817628045,-68.4983051081964
"4",0,3,0,-51.100966567293,-56.7901682930663,-55.5363636363636,-58.2870618897577,-56.7162220405051,-62.362376449391,-69.0893939393939
"5",0,4,0,-49.0848869871962,-53.5897597785517,-48.0909090909091,-63.4238592601237,-57.1113499563469,-64.7759196346702,-68.9681818181818
"6",0,7,0,-46.9793185975248,-62.5182580493684,-57.3,-55.1511319873964,-64.0295317745287,-64.5795090078431,-71.4363636363636
"7",0,8,0,-48.4235989698395,-53.5490549448999,-49.7727272727273,-59.8366281557552,-61.9362365198037,-66.0552665836007,-68.1090909090909
"8",0,9,0,-53.4548300650878,-56.4715779603699,-50.9909090909091,-62.9259151203952,-64.4624296017117,-66.6875749550059,-67.0636363636364
"9",0,10,0,-46.4678793421542,-49.6915218626811,-56.2,-65.8188800715758,-62.5544183379856,-64.2291362944147,-69.2
"10",0,11,0,-45.343542047731,-53.1938967185825,-54.6818181818182,-65.0366281557552,-68.8628651078621,-66.9111408329471,-74.2573960172873
"11",0,12,0,-40.3747731429793,-56.0105207098922,-56.6,-64.6990197222546,-68.4169750562571,-65.929415829486,-69.5363636363636
"12",0,13,0,-42.4747731429793,-57.0075330822188,-56.8363636363636,-65.5116816431322,-66.9673016858699,-68.4888794520053,-73.5573960172873
"13",1,0,0,-48.2667051690144,-50.2891470067797,-48.5909090909091,-62.9259151203952,-65.9431681381651,-62.8247771965835,-74.2710323809236
"14",1,1,0,-48.3854740737661,-56.6241570735286,-54.0090909090909,-61.1610339596219,-64.5973869630978,-61.8332158571747,-66.5545454545454
"15",1,2,0,-44.1127468010389,-59.0601121953776,-57.0727272727273,-58.5857606877504,-57.9592904221438,-62.0471317558823,-70.3318181818182
"16",1,3,0,-41.5423678745912,-56.7607249671495,-50.4818181818182,-58.156054771074,-57.3491198676881,-60.9340544623886,-74.0772727272727
"17",1,4,0,-46.5024817188081,-58.7949180048691,-50.6818181818182,-58.9515657213988,-60.7557248564367,-62.3506279506981,-67.1454545454545
"18",1,5,0,-47.0297544460809,-58.5407810648383,-52.4090909090909,-59.9382502820243,-62.2984666084625,-68.0148476822787,-66.8636363636364
"19",1,6,0,-46.3315157057906,-54.2284982708167,-46.9636363636364,-57.7105438207492,-60.7309380495063,-63.9832158571747,-67.6318181818182
"20",1,7,0,-52.2326898789304,-53.512487051279,-52.2818181818182,-52.9696911347104,-62.8442477835299,-66.3967590424539,-68.5057011254836
"21",1,8,0,-51.5235989698395,-55.6447137476118,-56.4636363636364,-55.0779709806667,-63.1177280720092,-68.9198590286096,-69.7875193073018
"22",1,9,0,-44.786648246906,-53.0854185812636,-54.5909090909091,-61.3168242113043,-66.6697876062123,-70.056036308259,-66.2119414718327
"23",1,10,0,-49.5172922555843,-56.5782940135594,-59.4671334490521,-60.9473411911153,-66.2575575175535,-64.5070612701871,-74.0818181818182
"24",1,11,0,-48.8819515543467,-49.4620785367643,-53.8090909090909,-60.7631967946474,-65.8455451819698,-62.5792294727718,-70.4954545454545
"25",1,12,0,-44.5730118832696,-48.401838315316,-55.2545454545455,-61.4498871902595,-68.8400289585972,-66.3208961394385,-71.7437596536509
"26",1,13,0,-48.1724247966997,-43.2927474062251,-57.2,-66.2357101178667,-69.8163217970316,-69.9050802268865,-75.8272727272727
"27",2,0,0,-43.3076142599235,-60.5522468298306,-56.0944061763249,-62.6812716380752,-64.858963792531,-62.4516772104278,-77.1590909090909
"28",2,1,0,-46.5661180824445,-51.2597036808629,-52.4909090909091,-61.156054771074,-59.2068045018015,-63.1064090216874,-70.1255778354691
"29",2,2,0,-45.186648246906,-48.8324309535902,-48.8454545454545,-59.2883066868946,-58.6763925949608,-65.4561294866161,-64.7363636363636
"30",2,3,0,-45.2634851256226,-54.6237485590139,-52.9090909090909,-60.250698253394,-58.1501995130529,-62.2975044693107,-65.5954545454545
"31",2,4,0,-40.7266292728698,-51.7243613307859,-57.0181818181818,-60.5498871902595,-55.4809380495063,-61.4334022138889,-69.6181818181818
"32",2,5,0,-52.2650951473185,-59.2510212862867,-53.3181818181818,-58.6308943089431,-60.2382960540069,-65.7834022138889,-68.7727272727273
"33",2,6,0,-44.5975004157066,-54.1061795126041,-50.6,-56.2378729528922,-60.2053982268239,-63.2837749273173,-67.5090909090909
"34",2,7,0,-49.0923678745912,-54.9085543685055,-50.5636363636364,-52.0862508266231,-61.8337505994614,-63.0662453576351,-67.0454545454545
"35",2,8,0,-50.3900195283116,-50.1124870512789,-50.6,-55.1751040572607,-61.4498728834401,-63.2836817489602,-63.0119414718327
"36",2,9,0,-48.7530688053781,-54.6221907321418,-49.6363636363636,-60.8911736103007,-65.2608055736589,-62.8813976753565,-64.7090909090909
"37",2,10,0,-52.8123109524828,-46.1601121953776,-51.9272727272727,-60.9354397634885,-62.8593901786702,-66.2403257229649,-67.6090909090909
"38",2,11,0,-47.4224247966997,-42.4988506876426,-52.3272727272727,-62.0151456801649,-64.8879694243941,-67.3030991835858,-70.6752183548921
"39",2,12,0,-51.2236938400203,-40.2330437253622,-56.3727272727273,-64.3118450227564,-65.5404553447364,-66.8643696415924,-67.66933748912
"40",2,13,0,-51.9854740737661,-42.9429516634824,-58.3944061763249,-67.3143346170304,-68.3655687812796,-64.4641711359774,-71.9545454545455
"41",3,3,0,-42.7889965931856,-56.5154746789523,-55.7034970854158,-59.3742929941261,-56.9925148789395,-59.479415829486,-62.2181818181818
"42",3,7,0,-43.3560042382276,-52.6079415967335,-55.5034970854158,-59.4602228964873,-63.8320176948711,-62.8287635809863,-65.7772727272727
"43",3,8,0,-49.62066353699,-50.4733400444993,-48.2545454545455,-58.9883066868946,-63.1264923514873,-65.0563158433303,-65.4119414718327
"44",4,3,0,-53.3518946322382,-60.5332479826195,-49.1545454545455,-57.8086007702182,-55.6453274288947,-56.4831226788176,-61.9090909090909
"45",4,7,0,-49.3549249352685,-53.9719864748845,-52.8363636363636,-57.7717469949819,-61.9658954108924,-59.551863567142,-66.8181818181818
"46",4,8,0,-48.3715916019352,-54.6784982708167,-47.3363636363636,-60.5771599175322,-61.2973869630978,-65.6971317558823,-65.85
"47",5,3,0,-49.1939778962871,-66.817108737011,-55.185315267234,-57.9255377912631,-52.6539919518463,-56.820231742038,-70.0892141991055
