"","time","posX","posY","orientation","00:14:bf:b1:97:8a","00:14:bf:b1:97:90","00:0f:a3:39:e1:c0","00:14:bf:b1:97:8d","00:14:bf:b1:97:81","00:14:bf:3b:c7:c6","00:0f:a3:39:dd:cd","nas","posXY","angle"
"1","1139643118358",0,0,0,-38,-56,-53,-65,-65,-66,-75,0,"0.0-0.0",0
"2","1139643118744",0,0,0,-38,-56,-54,-70,-66,-67,-73,0,"0.0-0.0",0
"3","1139643119002",0,0,0,-38,-57,-54,-70,-66,-69,-65,0,"0.0-0.0",0
"4","1139643119263",0,0,0,-38,-52,-54,-74,-64,-68,-78,0,"0.0-0.0",0
"5","1139643120587",0,0,0,-46,-57,-55,-71,-64,-69,-66,0,"0.0-0.0",0
"6","1139643120851",0,0,0,-39,-57,-53,-66,-66,-66,-66,0,"0.0-0.0",0
"7","1139643121115",0,0,0,-43,-56,-50,-65,-66,-63,-68,0,"0.0-0.0",0
"8","1139643122647",0,0,0,-42,-57,-50,-71,-64,-66.5,-65,0,"0.0-0.0",0
"9","1139643124427",0,0,0,-38,-56,-53,-64,-68,-79,-66,0,"0.0-0.0",0
"10","1139643125191",0,0,0,-37,-61,-52,-66,-64,-66,-67.5,0,"0.0-0.0",0
"11","1139643125463",0,0,0,-37,-57.5,-52,-66,-62,-66,-66,0,"0.0-0.0",0
"12","1139643125979",0,0,0,-37,-57,-51,-66,-62,-66,-71,0,"0.0-0.0",0
"13","1139643126491",0,0,0,-37,-57,-50,-66,-64,-66,-66,0,"0.0-0.0",0
"14","1139643126751",0,0,0,-38,-58,-51,-67,-63,-67,-68,0,"0.0-0.0",0
"15","1139643127255",0,0,0,-38,-55,-50,-66,-68,-66,-66,0,"0.0-0.0",0
"16","1139643128523",0,0,0,-38,-59,-51,-66,-68,-66,-69,0,"0.0-0.0",0
"17","1139643128787",0,0,0,-38,-55,-50,-66,-66,-64,-69,0,"0.0-0.0",0
"18","1139643129291",0,0,0,-38,-56,-51,-66,-67,-68,-74,0,"0.0-0.0",0
