"","time","posX","posY","orientation","00:14:bf:b1:97:8a","00:0f:a3:39:e1:c0","00:14:bf:3b:c7:c6","00:14:bf:b1:97:81","00:14:bf:b1:97:8d","00:14:bf:b1:97:90","00:0f:a3:39:dd:cd","nas","posXY","angle"
"1","1139692477303",0,0.05,130.5,-43,-52,-62,-58,-62,-57,-64,0,"0.0-0.05",135
"2","1139692478563",0,0.05,130.5,-43,-51,-62,-57,-63,-57,-62,0,"0.0-0.05",135
"3","1139692480835",0,0.05,130.5,-40,-52,-60,-57,-62,-55,-62,0,"0.0-0.05",135
"4","1139692481847",0,0.05,130.5,-38,-53,-64,-68,-63,-57,-60,0,"0.0-0.05",135
"5","1139692482351",0,0.05,130.5,-38,-52,-64,-61,-64,-55,-62,0,"0.0-0.05",135
"6","1139692482856",0,0.05,130.5,-39,-53,-70,-58,-62,-58,-62,0,"0.0-0.05",135
"7","1139692483108",0,0.05,130.5,-41,-54,-68,-62,-64,-49,-63,0,"0.0-0.05",135
"8","1139692483864",0,0.05,130.5,-42,-53,-60,-63,-61,-51,-61,0,"0.0-0.05",135
"9","1139692484368",0,0.05,130.5,-41,-53,-63,-60,-62,-56,-67,0,"0.0-0.05",135
"10","1139692484624",0,0.05,130.5,-41,-53,-69,-61,-61,-57,-67,0,"0.0-0.05",135
"11","1139692486136",0,0.05,130.5,-38,-53,-63,-58,-63,-50,-63,0,"0.0-0.05",135
"12","1139692486892",0,0.05,130.5,-38,-53,-63,-62,-64,-56,-62,0,"0.0-0.05",135
"13","1139692487652",0,0.05,130.5,-40,-51,-62,-62,-63,-52,-61,0,"0.0-0.05",135
"14","1139692487904",0,0.05,130.5,-38,-52,-56,-62,-64,-50,-62,0,"0.0-0.05",135
"15","1139692488156",0,0.05,130.5,-39,-51,-60,-57,-64,-58,-63,0,"0.0-0.05",135
"16","1139692488408",0,0.05,130.5,-40,-52,-66.5,-61,-63,-57,-62,0,"0.0-0.05",135
"17","1139692489416",0,0.05,130.5,-38,-52,-63,-70,-63,-46,-61,0,"0.0-0.05",135
"18","1139692489668",0,0.05,130.5,-39,-51,-63,-58,-63,-52,-62,0,"0.0-0.05",135
"19","1139692490676",0,0.05,130.5,-43,-52,-60,-60,-63,-56,-61,0,"0.0-0.05",135
"20","1139692491432",0,0.05,130.5,-38,-51,-62,-62,-64,-50,-61,0,"0.0-0.05",135
"21","1139692491684",0,0.05,130.5,-38,-53,-63,-60,-64,-57,-62,0,"0.0-0.05",135
"22","1139692491936",0,0.05,130.5,-40,-51,-69,-59,-64,-58,-63,0,"0.0-0.05",135
"23","1139692492440",0,0.05,130.5,-39.5,-53,-67,-69,-63,-51,-63,0,"0.0-0.05",135
"24","1139692492692",0,0.05,130.5,-40,-51,-63,-62,-62,-57,-63,0,"0.0-0.05",135
"25","1139692492944",0,0.05,130.5,-41,-54,-69,-59,-62,-51,-62,0,"0.0-0.05",135
"26","1139692493196",0,0.05,130.5,-38,-53,-60,-62,-63,-56,-62,0,"0.0-0.05",135
"27","1139692493448",0,0.05,130.5,-38,-54,-62,-70,-63,-58,-62,0,"0.0-0.05",135
"28","1139692493700",0,0.05,130.5,-41,-54,-63,-61,-64,-57,-63,0,"0.0-0.05",135
"29","1139692494456",0,0.05,130.5,-40,-54,-59,-63,-64,-57,-61,0,"0.0-0.05",135
"30","1139692494960",0,0.05,130.5,-41,-52,-61,-69,-63,-46,-64,0,"0.0-0.05",135
"31","1139692495212",0,0.05,130.5,-41,-53,-64,-63,-64,-56,-68,0,"0.0-0.05",135
"32","1139692495464",0,0.05,130.5,-40,-52,-69,-62,-63,-57,-64,0,"0.0-0.05",135
"33","1139692495716",0,0.05,130.5,-39,-51,-63,-69,-64,-50,-64,0,"0.0-0.05",135
"34","1139692495968",0,0.05,130.5,-39,-52,-61,-69,-62,-52,-63,0,"0.0-0.05",135
"35","1139692496224",0,0.05,130.5,-39,-53,-60,-61,-63,-57,-62,0,"0.0-0.05",135
"36","1139692497736",0,0.05,130.5,-38,-53,-63,-64,-64,-57,-61,0,"0.0-0.05",135
"37","1139692499253",0,0.05,130.5,-41,-52,-68,-62,-63,-58,-62,0,"0.0-0.05",135
"38","1139692500009",0,0.05,130.5,-41,-51,-62,-58,-64,-50,-62,0,"0.0-0.05",135
"39","1139692503537",0,0.05,130.5,-39,-52,-62,-60,-62,-58,-64,0,"0.0-0.05",135
"40","1139692504041",0,0.05,130.5,-38,-52,-61,-70,-63,-51,-63,0,"0.0-0.05",135
"41","1139692504545",0,0.05,130.5,-40,-52,-58,-58,-63,-58,-62,0,"0.0-0.05",135
"42","1139692504797",0,0.05,130.5,-40,-53,-61,-57,-64,-57,-64,0,"0.0-0.05",135
"43","1139692813112",1.71,1.81,86.6,-38,-52,-65,-63,-62,-57,-62,0,"1.71-1.81",90
"44","1139692814120",1.71,1.81,86.6,-38,-86,-61,-64,-63,-57,-61,0,"1.71-1.81",90
"45","1139692815632",1.71,1.81,86.6,-35,-51,-58,-64,-64,-57,-63,0,"1.71-1.81",90
"46","1139692816640",1.71,1.81,86.6,-38,-50,-61,-79,-63,-47,-68,0,"1.71-1.81",90
"47","1139692816892",1.71,1.81,86.6,-36,-55,-57,-60,-64,-52,-69,0,"1.71-1.81",90
"48","1139692817144",1.71,1.81,86.6,-38,-56,-60,-79,-62,-53,-63,0,"1.71-1.81",90
"49","1139692817396",1.71,1.81,86.6,-37,-52,-62,-64,-64,-56,-69,0,"1.71-1.81",90
"50","1139692818408",1.71,1.81,86.6,-36,-52,-62,-65,-63,-55,-63,0,"1.71-1.81",90
"51","1139692818661",1.71,1.81,86.6,-36,-52,-62,-70.5,-63,-51,-62,0,"1.71-1.81",90
"52","1139692819165",1.71,1.81,86.6,-36,-52,-63,-72,-69,-55,-70,0,"1.71-1.81",90
"53","1139692819416",1.71,1.81,86.6,-38,-53,-61,-63,-63,-53,-69,0,"1.71-1.81",90
"54","1139692819669",1.71,1.81,86.6,-36,-54,-62,-64,-63,-55,-72,0,"1.71-1.81",90
"55","1139692820173",1.71,1.81,86.6,-37,-52,-61,-65,-63,-53,-70,0,"1.71-1.81",90
"56","1139692820677",1.71,1.81,86.6,-36,-51,-61,-72.5,-63,-57,-69,0,"1.71-1.81",90
"57","1139692821181",1.71,1.81,86.6,-36,-52,-61,-79,-63,-56,-70,0,"1.71-1.81",90
"58","1139692821685",1.71,1.81,86.6,-36,-53,-63,-65,-70,-47,-66,0,"1.71-1.81",90
"59","1139692821937",1.71,1.81,86.6,-37,-52,-61,-64,-66.5,-52,-62,0,"1.71-1.81",90
"60","1139692822189",1.71,1.81,86.6,-38,-52,-62,-64,-63,-57,-62,0,"1.71-1.81",90
"61","1139692822441",1.71,1.81,86.6,-36,-51,-63,-63,-69,-52,-61,0,"1.71-1.81",90
"62","1139692822693",1.71,1.81,86.6,-36,-51,-60,-65,-70,-51,-64,0,"1.71-1.81",90
"63","1139692823449",1.71,1.81,86.6,-38,-52,-62,-60,-63,-55,-65,0,"1.71-1.81",90
"64","1139692824457",1.71,1.81,86.6,-36,-56,-61,-65,-63,-52,-63,0,"1.71-1.81",90
"65","1139692824709",1.71,1.81,86.6,-35,-55,-63,-65,-63,-52,-70,0,"1.71-1.81",90
"66","1139692824961",1.71,1.81,86.6,-36,-56,-62,-65,-64,-57,-70,0,"1.71-1.81",90
"67","1139692825717",1.71,1.81,86.6,-38,-55,-61,-65,-65,-57,-68,0,"1.71-1.81",90
"68","1139692826221",1.71,1.81,86.6,-38,-53,-61,-65,-64,-53,-61,0,"1.71-1.81",90
"69","1139692826977",1.71,1.81,86.6,-38,-51,-63,-64,-63,-52,-72,0,"1.71-1.81",90
"70","1139692827733",1.71,1.81,86.6,-38,-54,-62,-79,-70,-56,-70,0,"1.71-1.81",90
"71","1139692827985",1.71,1.81,86.6,-36,-54,-61,-66,-68,-53,-61,0,"1.71-1.81",90
"72","1139692828237",1.71,1.81,86.6,-36,-55,-62,-60,-63,-56,-70,0,"1.71-1.81",90
"73","1139692828489",1.71,1.81,86.6,-38,-55,-62,-65,-63,-52,-70,0,"1.71-1.81",90
"74","1139692828741",1.71,1.81,86.6,-38,-52,-61,-78,-64,-56,-64,0,"1.71-1.81",90
"75","1139692829749",1.71,1.81,86.6,-35,-53,-62,-63.5,-63,-52,-63,0,"1.71-1.81",90
"76","1139692830001",1.71,1.81,86.6,-38,-56,-63,-65,-68,-53,-71,0,"1.71-1.81",90
"77","1139692831013",1.71,1.81,86.6,-36,-53,-63,-65,-63,-57,-63,0,"1.71-1.81",90
"78","1139692832021",1.71,1.81,86.6,-36,-52,-63,-65,-63,-49,-62,0,"1.71-1.81",90
"79","1139692832273",1.71,1.81,86.6,-35,-52,-62,-64,-65,-51,-62,0,"1.71-1.81",90
"80","1139692832525",1.71,1.81,86.6,-38,-52,-70,-65,-63,-47,-64,0,"1.71-1.81",90
"81","1139692834045",1.71,1.81,86.6,-37,-52,-63,-65,-63,-52,-64,0,"1.71-1.81",90
"82","1139692834297",1.71,1.81,86.6,-38,-55,-61,-66,-64,-47,-64,0,"1.71-1.81",90
"83","1139692836314",1.71,1.81,86.6,-36,-53,-62,-65,-65,-53,-62,0,"1.71-1.81",90
"84","1139692838078",1.71,1.81,86.6,-37,-52,-62,-63,-63,-53,-64,0,"1.71-1.81",90
"85","1139692838582",1.71,1.81,86.6,-36,-53,-62,-63,-63,-53,-62,0,"1.71-1.81",90
"86","1139692839342",1.71,1.81,86.6,-36,-53,-63,-64,-64,-53,-70,0,"1.71-1.81",90
"87","1139692839594",1.71,1.81,86.6,-36.5,-51,-61,-65,-64,-57,-70,0,"1.71-1.81",90
"88","1139692839846",1.71,1.81,86.6,-35,-53,-62,-64,-63,-54,-69,0,"1.71-1.81",90
"89","1139692840098",1.71,1.81,86.6,-38,-51,-61,-76,-69,-53,-63,0,"1.71-1.81",90
"90","1139692889165",1.24,3.93,261.5,-37,-55,-67,-59,-71,-63,-83,0,"1.24-3.93",270
"91","1139692890429",1.24,3.93,261.5,-35,-61,-71,-60,-67,-61,-70,0,"1.24-3.93",270
"92","1139692891185",1.24,3.93,261.5,-35,-59,-71,-61,-68,-51,-79,0,"1.24-3.93",270
"93","1139692891437",1.24,3.93,261.5,-35,-50,-66,-59,-68,-61,-79,0,"1.24-3.93",270
"94","1139692891689",1.24,3.93,261.5,-35,-61,-70,-61,-69,-49,-80,0,"1.24-3.93",270
"95","1139692892445",1.24,3.93,261.5,-35,-50,-70,-56,-69,-62,-64,0,"1.24-3.93",270
"96","1139692892697",1.24,3.93,261.5,-36,-59,-69,-60,-68,-62,-70,0,"1.24-3.93",270
"97","1139692892949",1.24,3.93,261.5,-36,-60,-67,-62,-69,-47,-68,0,"1.24-3.93",270
"98","1139692895469",1.24,3.93,261.5,-41.5,-59,-69,-62,-70,-50,-66,0,"1.24-3.93",270
"99","1139692897989",1.24,3.93,261.5,-47,-60,-70,-57,-71,-61,-68,0,"1.24-3.93",270
"100","1139692898242",1.24,3.93,261.5,-47,-59,-69,-57,-72,-52,-68,0,"1.24-3.93",270
"101","1139692898493",1.24,3.93,261.5,-35,-61,-71,-62,-73,-51,-69,0,"1.24-3.93",270
"102","1139692898745",1.24,3.93,261.5,-46,-59,-69,-61,-73,-51,-78,0,"1.24-3.93",270
"103","1139692898998",1.24,3.93,261.5,-46,-61,-70,-61,-74,-62,-78,0,"1.24-3.93",270
"104","1139692900258",1.24,3.93,261.5,-46,-61,-69,-60,-71,-59,-69,0,"1.24-3.93",270
"105","1139692901266",1.24,3.93,261.5,-35,-60,-69,-57,-72,-50,-68,0,"1.24-3.93",270
"106","1139692902274",1.24,3.93,261.5,-36,-50,-68,-59,-74,-50,-69,0,"1.24-3.93",270
"107","1139692903030",1.24,3.93,261.5,-36,-50,-67,-60,-72,-51,-67,0,"1.24-3.93",270
"108","1139692903282",1.24,3.93,261.5,-36,-50,-70,-59,-72,-50,-69,0,"1.24-3.93",270
"109","1139692903534",1.24,3.93,261.5,-35,-49,-71,-60,-73,-50,-67,0,"1.24-3.93",270
"110","1139692904038",1.24,3.93,261.5,-36,-61,-70,-58,-72,-50,-68,0,"1.24-3.93",270
"111","1139692904290",1.24,3.93,261.5,-47,-60,-69,-61,-72,-44,-67,0,"1.24-3.93",270
"112","1139692904542",1.24,3.93,261.5,-46,-60,-69,-60,-72,-51,-70,0,"1.24-3.93",270
